"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","G","02","07794085","UOC Toastmasters Club","Active","Y","26","25","-1","10","4","2","2","2","1","1","4","17","7","7","1","1","1","M"
"82","G","02","28676602","TalkCrafters Toastmasters Club","Low","Y","12","7","-5","2","0","0","0","0","0","0","0","0","7","6","1","0","1",""
"82","G","03","01223810","Jaffna Toastmasters Club (JTMC)","Active","Y","11","9","-2","5","2","2","0","1","1","1","4","5","0","0","0","0","1",""
"82","G","03","02549382","Anuradhapura Toastmasters Club","Active","Y","26","24","-2","9","4","2","0","2","1","4","4","10","7","5","1","1","1","P"
"82","G","03","03179593","Kekirawa Toastmasters","Suspended","Y","13","6","-7","0","0","0","0","0","0","0","2","0","3","3","0","0","1",""
"82","G","03","07391111","Puttalam Toastmasters","Low","Y","14","5","-9","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"82","G","03","28676100","Rajarata University Toastmasters Club","Active","Y","20","8","-12","1","0","0","0","0","0","0","4","1","3","0","0","0","1",""
"82","G","04","04048942","Rizing Lanka Toastmasters Club","Active","Y","28","18","-10","3","0","0","0","0","0","0","4","2","6","6","1","1","1",""
"82","G","04","04278308","Pinnacle Advanced Toastmasters Club","Active","Y","30","29","-1","4","0","0","0","1","1","1","1","0","7","4","1","1","1",""
"82","G","04","07901236","Saturday Circle Toastmasters Club","Active","Y","20","8","-12","6","1","0","0","2","1","2","4","0","6","4","1","0","1",""
"82","G","04","07987754","hSenid Toastmasters Club","Active","Y","12","17","5","8","3","2","0","3","1","1","4","6","6","6","1","1","1","S"
"82","G","04","28678718","CFL Toastmasters Club","Suspended","N","20","0","-20","0","0","0","0","0","0","0","0","0","2","0","0","0","1",""
"82","H","01","01514977","Wattala Toastmasters Club","Active","Y","28","33","5","10","7","2","4","3","1","1","4","16","7","7","1","1","1","M"
"82","H","01","03200777","Sunday Live Speakers Forum","Active","Y","21","11","-10","4","2","1","0","0","1","0","4","0","6","7","1","1","1",""
"82","H","01","07390865","Negombo Speakers Forum","Active","Y","22","20","-2","7","4","2","0","0","1","0","4","6","6","6","1","1","1","S"
"82","H","01","28678062","United Tractors Toastmasters Club","Active","Y","32","32","0","6","6","2","0","0","0","0","4","6","6","6","1","1","1","D"
"82","H","02","01055854","Wayamba Toastmasters","Active","Y","28","21","-7","6","2","1","0","0","1","2","4","7","7","7","1","1","1","D"
"82","H","02","01378886","Omega Line","Active","Y","74","60","-14","10","8","2","2","2","1","2","4","9","7","7","1","1","1","M"
"82","H","02","01818104","Negombo Toastmasters","Active","Y","23","39","16","10","4","2","2","4","1","7","4","21","7","7","1","1","1","M"
"82","H","02","07856786","Silvermill Toastmasters Club","Active","Y","14","25","11","10","5","2","2","5","1","6","4","14","7","7","1","1","1","M"
"82","H","02","28679004","IAB Toastmasters Club","Active","Y","42","42","0","3","0","0","0","0","0","0","4","2","7","7","1","1","1",""
"82","H","03","00777976","FTZ Toastmasters Club","Active","Y","21","16","-5","5","0","0","0","0","1","0","4","5","6","4","1","1","1",""
"82","H","03","06604478","Ja-Ela Toastmasters Club","Active","Y","20","27","7","7","6","1","0","1","1","2","4","13","7","7","1","1","1","S"
"82","H","03","07855253","Ampara Toastmasters Club","Active","Y","8","8","0","5","0","0","0","1","1","1","4","0","7","7","0","1","1",""
"82","H","03","28675770","Star Garments Toastmasters Club","Active","Y","32","29","-3","9","4","2","0","2","1","1","4","9","7","7","1","1","1","P"
"82","H","04","00007639","SriLankan Airlines Toastmasters Club","Active","Y","22","25","3","10","4","2","2","2","1","1","4","8","7","7","1","1","1","M"
"82","H","04","05144557","Minuwangoda Toastmasters Club","Active","Y","20","20","0","10","4","2","2","2","1","1","4","4","7","7","1","1","1","P"
"82","H","04","07832471","Ragama Toastmasters Club","Active","Y","34","29","-5","10","4","2","2","2","1","1","4","6","7","7","1","1","1","M"
"82","H","04","07975669","Ceylon Advanced Toastmasters Club","Active","Y","11","8","-3","2","0","0","0","0","0","0","3","0","6","4","1","0","1",""
"82","H","04","28675349","Ansell Textiles Lanka Toastmasters Club","Active","Y","20","11","-9","2","0","0","0","0","0","0","4","2","7","5","0","0","1",""
